82.0,84.0,88
88.0,87.0,88
89.0,92.0,95
71.0,84.0,86
87.0,76.0,77
82.0,92.0,88
45.37,93.0,88
84.0,88.0,91
90.0,84.0,90
83.0,83.0,88
92.0,91.0,91
87.0,94.0,91
82.0,86.0,88
85.0,92.0,92
87.0,95.0,94
93.0,85.0,92
88.0,90.0,94
92.0,93.0,89
77.0,78.0,81
73.0,87.0,87
90.0,81.0,81
84.0,94.0,92
85.0,88.0,89
85.0,92.0,92
90.0,92.0,93
93.0,95.0,92
45.37,93.0,96
80.0,90.0,86
88.0,85.0,88
89.0,92.0,87
80.0,82.0,82
90.0,96.0,95
84.0,85.0,83
92.0,91.0,88
90.0,75.0,81
89.0,90.0,84
93.0,78.0,81
73.0,70.0,88
83.0,59.0,71
93.0,92.0,92
90.0,90.0,87
91.0,90.0,93
45.37,78.0,82
80.0,86.0,71
91.0,90.0,94
85.0,87.0,94
93.0,87.0,90
80.0,86.0,93
90.0,93.0,91
78.0,83.0,90
92.0,90.0,90
80.0,86.0,85
90.0,81.0,87
85.0,84.0,90
90.0,90.0,83
90.0,84.0,91
84.0,85.0,78
87.0,95.0,98
84.0,86.0,92
83.0,74.0,77
83.0,85.0,85
84.0,91.0,90
90.0,92.0,89
80.0,76.0,82
82.0,88.0,86
93.0,90.0,95
84.0,93.0,90
93.0,91.0,90
80.0,85.0,85
84.0,81.0,78
85.0,79.0,87
85.0,76.0,79
94.0,87.0,80
79.0,78.0,82
88.0,95.0,98
92.0,93.0,88
87.0,90.0,88
78.0,90.0,91
83.0,85.0,85
92.0,84.0,76
85.0,81.0,86
91.0,91.0,94
88.0,89.0,88
45.37,65.98,0
90.0,86.0,88
89.0,83.0,76.59
85.0,86.0,91
45.37,65.98,88
90.0,83.0,92
84.0,77.0,91
45.37,75.0,92
45.37,77.0,80
79.0,0.0,73
45.37,74.0,88
80.0,79.0,89
45.37,76.0,75
73.0,71.0,75
79.0,80.0,89
80.0,84.0,90
45.37,68.0,83
45.37,83.0,89
45.37,83.0,86
45.37,78.0,83
87.0,88.0,88
45.37,65.98,35
45.37,90.0,83
79.0,97.0,89
85.0,89.0,94
45.37,65.98,66
80.0,85.0,92
89.0,69.0,80
45.37,87.0,86
45.37,84.0,83
45.37,93.0,88
72.0,83.0,87
85.0,81.0,76
45.37,65.98,35
45.37,81.0,87
87.0,86.0,86
45.37,90.0,88
45.37,65.98,0
83.0,90.0,90
45.37,97.0,98
90.0,84.0,95
45.37,90.0,93
75.0,93.0,90
77.0,80.0,86
45.37,75.0,83
45.37,97.5,90
45.37,91.0,91
83.0,75.0,80
90.0,80.0,71
45.37,92.0,91
45.37,83.0,87
45.37,88.0,90
77.0,94.0,94
45.37,87.0,90
45.37,84.0,94
45.37,65.98,70
45.37,65.98,86
45.37,78.0,89
45.37,65.98,80
45.37,91.0,86
86.0,92.0,91
45.37,83.0,87
45.37,83.0,92
45.37,84.0,95
82.0,83.0,83
45.37,90.0,89
